Date,Daily,Change,Change in
2/11/2020,"2,071",-475,-19%
2/10/2010,"2,546",-455,-15%
2/9/2020,"3,001",325,12%
2/8/2020,"2,676",-761,-22%
2/7/2020,"3,437",274,9%
2/6/2020,"3,163",-560,-15%
2/5/2020,"3,723",-204,-5%
2/4/2020,"3,927",688,21%
2/3/2020,"3,239",403,14%
2/2/2020,"2,836",233,9%
2/1/2020,"2,603",476,22%
1/31/2020,"2,127",122,6%
1/30/2020,"2,005",250,14%
1/29/2020,"1,755",273,18%
1/28/2020,"1,482",-296,-17%
1/27/2020,"1,778",992,126%
1/26/2020,786,83,12%
1/25/2020,703,235,50%
1/24/2020,468,203,77%
1/23/2020,265,132,99%
